trial,round,phase,acc_after,acc_before,alpha_mean,avg_forgetting,bwt,contribution_ratio,eval_acc,eval_loss,expanded_depth,expanded_width,expansion_g,incorp_accepted,incorp_active_adapters,incorp_candidacies_proposed,incorp_candidacy_pending,incorp_confirmed,incorp_last_vote_favorable_fraction,incorp_monitoring,incorp_rejected,incorp_reverted,num_classes_seen,partition_id,server_eval_acc,server_eval_loss,train_loss,vote,worst_class_bwt,worst_class_bwt_id,worst_class_forgetting,worst_class_forgetting_id
trial_0001,73,eval,,,,,,,0.631578947368421,2.0829809041399705,,,,,,,,,,,,,,,,,,,,,,
trial_0001,73,global,,,,0.27039464093166693,-0.01487432062692251,,,,,,,2,0,27,0,0,0.0,0,25,2,27,,0.13003095975232198,13.26203212678986,,,-0.8,1,0.8,1
trial_0001,74,train,,,0.25158048754042767,,,0.0709786573623089,,,0.0,0.0,0.008259099985453043,2,0,28,1,0,0.0,0,25,2,,,,,0.04538594433601866,,,,,
trial_0001,74,eval,0.47368421052631576,0.5263157894736842,,,,,,,,,,,,,,,,,,,,2.1052631578947367,,,,0.0,,,,
trial_0001,74,global,,,,0.2711261244827852,-0.014234062065557914,,,,,,,2,0,28,0,0,0.0,0,26,2,27,,0.12941176470588237,13.525359332672213,,,-0.8,1,0.8,1
trial_0001,75,train,,,0.25157606062736915,,,0.07088983629612212,,,0.0,0.0,0.012093864599050227,2,0,29,1,0,0.0,0,26,2,,,,,0.06879388989405111,,,,,
trial_0001,75,eval,0.5263157894736842,0.47368421052631576,,,,,,,,,,,,,,,,,,,,2.1052631578947367,,,,0.2631578947368421,,,,
trial_0001,75,global,,,,0.269956935359268,-0.013064872942040754,,,,,,,2,0,29,0,0,0.25,0,27,2,27,,0.1306501547987616,12.910452336644978,,,-0.8,1,0.8,1
trial_0001,76,train,,,0.25158364817183065,,,0.06929221305441349,,,0.0,0.0,0.00798048371597109,2,0,30,1,0,0.25,0,27,2,,,,,0.039906591852690944,,,,,
trial_0001,76,eval,0.5263157894736842,0.5263157894736842,,,,,,,,,,,,,,,,,,,,2.1052631578947367,,,,0.0,,,,
trial_0001,76,global,,,,0.27050013310545895,-0.01360807068823167,,,,,,,2,0,30,0,0,0.0,0,28,2,27,,0.13003095975232198,12.76755236457376,,,-0.8,1,0.8,1
trial_0001,77,train,,,0.2515916770443003,,,0.0688032533260102,,,0.0,0.0,0.009810589476097798,2,0,30,0,0,0.0,0,28,2,,,,,0.04649687285158545,,,,,
trial_0001,77,eval,,,,,,,0.631578947368421,2.108466011913199,,,,,,,,,,,,,,,,,,,,,,
trial_0001,77,global,,,,0.2730672774051518,-0.016175214987924513,,,,,,,2,0,30,0,0,0.0,0,28,2,27,,0.12879256965944272,13.496351231436241,,,-0.8,1,0.8,1
trial_0001,78,train,,,0.2516113151895239,,,0.06710523303518903,,,0.0,0.0,0.0076777245411110626,2,0,30,0,0,0.0,0,28,2,,,,,0.04074345935591833,,,,,
trial_0001,78,eval,,,,,,,0.5789473684210527,2.1084732121150744,,,,,,,,,,,,,,,,,,,,,,
trial_0001,78,global,,,,0.2731033869863635,-0.015296829827480965,,,,,,,2,0,30,0,0,0.0,0,28,2,27,,0.12941176470588237,13.21680729160368,,,-0.8,1,0.8,1
trial_0001,79,train,,,0.2516149139784752,,,0.06683596841832426,,,0.0,0.0,0.00807368806385289,2,0,31,1,0,0.0,0,28,2,,,,,0.03740544366511576,,,,,
trial_0001,79,eval,0.47368421052631576,0.47368421052631576,,,,,,,,,,,,,,,,,,,,2.1052631578947367,,,,0.0,,,,
trial_0001,79,global,,,,0.261793332448287,-0.003986775289404437,,,,,,,2,0,31,0,0,0.0,0,29,2,27,,0.1411764705882353,13.679388040359544,,,-0.8,1,0.8,1
trial_0001,80,train,,,0.2516255020461184,,,0.06490452746127515,,,0.0,0.0,0.007648247930805195,2,0,31,0,0,0.0,0,29,2,,,,,0.034446905641519324,,,,,
trial_0001,80,eval,,,,,,,0.5789473684210527,2.197745431018503,,,,,,,,,,,,,,,,,,,,,,
trial_0001,80,global,,,,0.26984606394909627,-0.012039506790213728,,,,,,,2,0,31,0,0,0.0,0,29,2,27,,0.13312693498452013,13.48619118799735,,,-0.8,1,0.8,1
trial_0001,81,train,,,0.2516158400697911,,,0.06397824338141908,,,0.0,0.0,0.007439650005603363,2,0,31,0,0,0.0,0,29,2,,,,,0.03199435233911301,,,,,
trial_0001,81,eval,,,,,,,0.5789473684210527,2.246757552615906,,,,,,,,,,,,,,,,,,,,,,
trial_0001,81,global,,,,0.2664267591496149,-0.008620201990732372,,,,,,,2,0,31,0,0,0.0,0,29,2,27,,0.13622291021671826,13.66102094620743,,,-0.8,1,0.8,1
trial_0001,82,train,,,0.25162597602986275,,,0.06255871311147161,,,0.0,0.0,0.006737401796659045,2,0,32,1,0,0.0,0,29,2,,,,,0.03021279737710001,,,,,
trial_0001,82,eval,0.47368421052631576,0.47368421052631576,,,,,,,,,,,,,,,,,,,,2.1052631578947367,,,,0.0,,,,
trial_0001,82,global,,,,0.26725438832439524,-0.00944783116551271,,,,,,,2,0,32,0,0,0.0,0,30,2,27,,0.13560371517027864,13.380552867027259,,,-0.8,1,0.8,1
trial_0001,83,train,,,0.2516144073389946,,,0.062189311423200236,,,0.0,0.0,0.00633010077332035,2,0,33,1,0,0.0,0,30,2,,,,,0.028137775461011108,,,,,
trial_0001,83,eval,0.47368421052631576,0.47368421052631576,,,,,,,,,,,,,,,,,,,,2.1052631578947367,,,,0.0,,,,
