trial,round,class_id,acc,bwt,forgetting,n
trial_0001,38,24,0.22916666666666666,0.22916666666666666,0.5,48
trial_0001,38,25,0.4567901234567901,0.4567901234567901,0.024691358024691357,81
trial_0001,38,26,0.2465753424657534,0.2465753424657534,0.0958904109589041,73
trial_0001,39,0,0.0,-0.37254901960784315,0.47058823529411764,51
trial_0001,39,1,0.0,-0.8,0.8,45
trial_0001,39,2,0.0,0.0,0.0196078431372549,51
trial_0001,39,3,0.0,-0.07407407407407407,0.14814814814814814,54
trial_0001,39,4,0.0,0.0,0.46938775510204084,49
trial_0001,39,5,0.0,0.0,0.1320754716981132,53
trial_0001,39,6,0.0,0.0,0.21153846153846154,52
trial_0001,39,7,0.0,0.0,0.017241379310344827,58
trial_0001,39,8,0.0,0.0,0.16129032258064516,62
trial_0001,39,9,0.0,-0.5757575757575758,0.5757575757575758,66
trial_0001,39,10,0.0,-0.028169014084507043,0.04225352112676056,71
trial_0001,39,11,0.0,-0.014705882352941176,0.10294117647058823,68
trial_0001,39,12,0.0,-0.05555555555555555,0.18518518518518517,54
trial_0001,39,13,0.0,-0.045454545454545456,0.15151515151515152,66
trial_0001,39,14,0.0,-0.13333333333333333,0.13333333333333333,60
trial_0001,39,15,0.0,-0.037037037037037035,0.6481481481481481,54
trial_0001,39,16,0.0,-0.09859154929577464,0.6901408450704225,71
trial_0001,39,17,0.0,-0.13333333333333333,0.26666666666666666,60
trial_0001,39,18,0.48484848484848486,0.03030303030303033,0.48484848484848486,66
trial_0001,39,19,0.40384615384615385,0.40384615384615385,0.13461538461538458,52
trial_0001,39,20,0.25,0.25,0.13043478260869568,92
trial_0001,39,21,0.14545454545454545,0.14545454545454545,0.0,55
trial_0001,39,22,0.2631578947368421,-0.5789473684210527,0.5789473684210527,57
trial_0001,39,23,0.3695652173913043,0.2608695652173913,0.13043478260869568,46
trial_0001,39,24,0.16666666666666666,0.16666666666666666,0.5625,48
trial_0001,39,25,0.49382716049382713,0.49382716049382713,0.0,81
trial_0001,39,26,0.2465753424657534,0.2465753424657534,0.0958904109589041,73
trial_0001,40,0,0.0,-0.37254901960784315,0.47058823529411764,51
trial_0001,40,1,0.0,-0.8,0.8,45
trial_0001,40,2,0.0,0.0,0.0196078431372549,51
trial_0001,40,3,0.0,-0.07407407407407407,0.14814814814814814,54
trial_0001,40,4,0.0,0.0,0.46938775510204084,49
trial_0001,40,5,0.0,0.0,0.1320754716981132,53
trial_0001,40,6,0.0,0.0,0.21153846153846154,52
trial_0001,40,7,0.0,0.0,0.017241379310344827,58
trial_0001,40,8,0.0,0.0,0.16129032258064516,62
trial_0001,40,9,0.0,-0.5757575757575758,0.5757575757575758,66
trial_0001,40,10,0.0,-0.028169014084507043,0.04225352112676056,71
trial_0001,40,11,0.0,-0.014705882352941176,0.10294117647058823,68
trial_0001,40,12,0.0,-0.05555555555555555,0.18518518518518517,54
trial_0001,40,13,0.0,-0.045454545454545456,0.15151515151515152,66
trial_0001,40,14,0.0,-0.13333333333333333,0.13333333333333333,60
trial_0001,40,15,0.0,-0.037037037037037035,0.6481481481481481,54
trial_0001,40,16,0.0,-0.09859154929577464,0.6901408450704225,71
trial_0001,40,17,0.0,-0.13333333333333333,0.26666666666666666,60
trial_0001,40,18,0.48484848484848486,0.03030303030303033,0.48484848484848486,66
